group,num_categories,categories,avg_ap_iou_0.5,avg_precision_iou_0.5,avg_recall_iou_0.5,avg_f1_score_iou_0.5,total_tp_iou_0.5,total_fp_iou_0.5,total_fn_iou_0.5,avg_ap_iou_0.75,avg_precision_iou_0.75,avg_recall_iou_0.75,avg_f1_score_iou_0.75,total_tp_iou_0.75,total_fp_iou_0.75,total_fn_iou_0.75
상의,7,"탑, 블라우스, 티셔츠, 니트웨어, 셔츠, 브라탑, 후드티",0.4079,0.6023,0.4805,0.5276,1036,537,901,0.3927,0.5835,0.4667,0.5119,1003,570,934
하의,5,"청바지, 팬츠, 스커트, 레깅스, 조거팬츠",0.5711,0.6536,0.6485,0.6509,1738,363,396,0.5403,0.6161,0.6114,0.6136,1636,465,498
아우터,7,"코트, 재킷, 점퍼, 패딩, 베스트, 가디건, 짚업",0.6133,0.7168,0.7151,0.7131,932,342,371,0.594,0.702,0.7003,0.6983,913,361,390
원피스,2,"드레스, 점프수트",0.7415,0.8439,0.8195,0.8312,347,66,82,0.725,0.8204,0.7973,0.8084,336,77,93
